seed,epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr
42,1,3.2145619698059864,0.08974358974358974,0.056656883127471365,3.0850576070638804,0.2564102564102564,0.18460044994199531,0.0003
42,2,3.0456121212396865,0.2948717948717949,0.25129859456782533,2.909244011609982,0.46794871794871795,0.3822912441214418,0.0003
42,3,2.8664336999257407,0.5384615384615384,0.4908702408702409,2.7353030229226136,0.7051282051282052,0.6424940702945818,0.0003
42,4,2.6835199074867444,0.6346153846153846,0.5955911292251725,2.566167122278458,0.8012820512820513,0.7564838663205771,0.0003
42,5,2.5544700561425624,0.7628205128205128,0.7383466735693456,2.404367391879742,0.8333333333333334,0.7989926739926739,0.0003
42,6,2.366675621423966,0.8141025641025641,0.7996605958144419,2.245140491387783,0.8782051282051282,0.8509580163426318,0.0003
42,7,2.2155539867205496,0.8717948717948718,0.8596851866082635,2.0896907586317797,0.8910256410256411,0.8624260355029586,0.0003
42,8,2.0498091318668465,0.8717948717948718,0.8608987166679475,1.9374015759199092,0.8717948717948718,0.84549168779938,0.0003
42,9,1.8876302120013115,0.8910256410256411,0.8915797877336339,1.7809074994845269,0.8846153846153846,0.8562905043674274,0.0003
42,10,1.7699789695250683,0.8910256410256411,0.8857104434027511,1.6303745966691237,0.9038461538461539,0.8866652578191041,0.0003
42,11,1.5774642718143952,0.9166666666666666,0.9117754040830963,1.483200381963681,0.9102564102564102,0.8945759368836292,0.0003
42,12,1.432495049941234,0.9551282051282052,0.9542611234918928,1.3437115106827173,0.9102564102564102,0.8949985911524373,0.0003
42,13,1.2939336666694055,0.9294871794871795,0.9271506271506271,1.211710810661316,0.9230769230769231,0.9120315581854043,0.0003
42,14,1.1907186661011133,0.9358974358974359,0.9353697584466816,1.0885470799910717,0.9294871794871795,0.9210605382551085,0.0003
42,15,1.0574664091452575,0.9423076923076923,0.9428571428571428,0.9772680325385852,0.9358974358974359,0.9262538743307975,0.0003
42,16,0.918869938605871,0.9743589743589743,0.975024975024975,0.8761788820609068,0.9487179487179487,0.9450267681036912,0.0003
42,17,0.8500777788651295,0.9807692307692307,0.9807244038013269,0.7854505227162287,0.9487179487179487,0.9450267681036912,0.0003
42,18,0.7454943244273846,0.9871794871794872,0.9875124875124877,0.7058922694279597,0.9615384615384616,0.9598452829222061,0.0003
42,19,0.6268945259925647,1.0,1.0,0.6357935789303902,0.9615384615384616,0.9598452829222061,0.0003
42,20,0.5819910183931009,0.9871794871794872,0.9871794871794872,0.5733332022642478,0.9615384615384616,0.9598452829222061,0.0003
42,21,0.4860832523076962,0.9935897435897436,0.9935449166218397,0.5186997071290628,0.967948717948718,0.9663003663003663,0.0003
42,22,0.4458622145347106,0.9935897435897436,0.9935449166218397,0.4751862761301872,0.967948717948718,0.9663003663003663,0.0003
42,23,0.41272500768685955,1.0,1.0,0.4382209028953161,0.9615384615384616,0.957967032967033,0.0003
42,24,0.3496627104588044,1.0,1.0,0.4075861542652815,0.9615384615384616,0.957967032967033,0.0003
42,25,0.30659804665125334,1.0,1.0,0.3850472813997513,0.9615384615384616,0.957967032967033,0.0003
42,26,0.3047147935781723,1.0,1.0,0.36602366734773684,0.9615384615384616,0.957967032967033,0.0003
42,27,0.27103062929251254,1.0,1.0,0.35234324901531905,0.9615384615384616,0.957967032967033,0.00015
42,28,0.262688676516215,1.0,1.0,0.3468321959177653,0.9615384615384616,0.957967032967033,0.00015
42,29,0.2554079573123883,1.0,1.0,0.3428747485845517,0.9615384615384616,0.957967032967033,0.00015
42,30,0.2468288365082863,1.0,1.0,0.3394927611717811,0.9615384615384616,0.957967032967033,0.00015
42,31,0.24203456288728958,1.0,1.0,0.33694640795389813,0.9615384615384616,0.957967032967033,0.00015
42,32,0.23233745113397256,1.0,1.0,0.3334417679370978,0.9615384615384616,0.957967032967033,0.00015
42,33,0.22611305805353019,1.0,1.0,0.33008368198688215,0.9615384615384616,0.957967032967033,7.5e-05
42,34,0.2217688805017716,1.0,1.0,0.32839437478627914,0.9615384615384616,0.957967032967033,7.5e-05
42,35,0.2414812995837285,1.0,1.0,0.32788674495159054,0.9615384615384616,0.957967032967033,7.5e-05
42,36,0.2228155636634582,1.0,1.0,0.32770416675469816,0.9615384615384616,0.957967032967033,7.5e-05
