epoch,lr,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,0.0003,3.1303057925645694,0.1569767441860465,0.15300654705017602,2.236222385224842,0.4452380952380952,0.377024952092595
2,0.0003,2.008385621115219,0.5151162790697674,0.5032823190615686,1.6526491607938494,0.5833333333333334,0.5327026181796226
3,0.0003,1.417217882289443,0.7569767441860465,0.7456974919083008,1.2409909861428396,0.7071428571428572,0.6592784344561866
4,0.0003,1.0243288977201594,0.8616279069767442,0.8584020738207935,1.0155586412974766,0.7642857142857142,0.7264954248118088
5,0.0003,0.7668491280356119,0.9069767441860465,0.9046358421320362,0.8426985422770182,0.8238095238095238,0.7964271984076512
6,0.0003,0.5968076567317164,0.9488372093023256,0.9484750598329394,0.714512016092028,0.8642857142857143,0.8418012608478038
7,0.0003,0.49346659488456196,0.958139534883721,0.9589819370106525,0.674495884350368,0.8428571428571429,0.8165205392702858
8,0.0003,0.4373815178871155,0.963953488372093,0.9641557908487488,0.6900396948768979,0.8357142857142857,0.8171860287610238
9,0.0003,0.3835630547168643,0.9767441860465116,0.9762437195325032,0.6028840916497367,0.861904761904762,0.8505534476997559
10,0.0003,0.3472146558207135,0.9872093023255814,0.9867636152821784,0.5794058538618542,0.8642857142857143,0.8380905736958998
11,0.0003,0.32242571850155677,0.9883720930232558,0.988616106278577,0.5441906673567636,0.8785714285714286,0.8576292951580174
12,0.0003,0.30080096680064533,0.9930232558139535,0.9927993492478958,0.531561043148949,0.9023809523809524,0.8946868289655955
13,0.0003,0.2833033095958621,0.9988372093023256,0.99874949979992,0.4934497458594186,0.9023809523809524,0.8848489746895576
14,0.0003,0.2749350062636442,0.9965116279069768,0.9965574935169956,0.49096581027621317,0.9214285714285714,0.9126455215958259
15,0.0003,0.26982810885407205,0.9988372093023256,0.99874949979992,0.46396514744985673,0.9333333333333333,0.9323425128490909
16,0.0003,0.2678012985129689,0.9988372093023256,0.99874949979992,0.5182575753756932,0.9023809523809524,0.8838310731947584
17,0.0003,0.26237902114557665,1.0,1.0,0.4792430287315732,0.9333333333333333,0.9235145759011169
18,0.0003,0.2627711817275646,1.0,1.0,0.4196974243436541,0.9523809523809523,0.9492633015046927
19,0.0003,0.2683692740839581,0.9930232558139535,0.9926918868114711,0.5113490502039592,0.9261904761904762,0.914432534461505
20,0.0003,0.2749347864195358,0.9930232558139535,0.9925177294278367,0.49035941532679966,0.9285714285714286,0.9068822838752327
21,0.0003,0.26518610022788824,0.9988372093023256,0.99874949979992,0.45555114859626405,0.9476190476190476,0.9388650609397335
22,0.0003,0.26397621215775957,0.9965116279069768,0.9965577829492454,0.5064303307306199,0.9142857142857143,0.8958626422929182
23,0.0003,0.2609688713106998,0.9988372093023256,0.99874949979992,0.46356876804715114,0.9404761904761905,0.9305942446456519
24,0.00015,0.2649032111777816,0.9965116279069768,0.9963459434057356,0.4697506989751543,0.9261904761904762,0.9130045541361692
25,0.00015,0.25491020845812423,1.0,1.0,0.4812115396772112,0.9214285714285714,0.90967665214827
26,0.00015,0.25198271177535836,1.0,1.0,0.44304970900217694,0.9428571428571428,0.9357399623642674
27,0.00015,0.25191470523213233,1.0,1.0,0.46603833266666955,0.9333333333333333,0.9220420854550733
28,0.00015,0.25257002711296084,0.9988372093023256,0.9988575938850116,0.44109658967880977,0.9404761904761905,0.9332836996867826
29,0.00015,0.2528651078080022,1.0,1.0,0.4406856417655945,0.9452380952380952,0.9407136193100655
30,7.5e-05,0.2517294656398684,1.0,1.0,0.447410637991769,0.9380952380952381,0.9312671919038105
31,7.5e-05,0.2508477090403091,1.0,1.0,0.4379459205127898,0.9404761904761905,0.9344070679834721
32,7.5e-05,0.25366099282752635,0.9988372093023256,0.9989580439010837,0.44826904705592563,0.9357142857142857,0.9281009590730535
33,7.5e-05,0.2503809772258581,1.0,1.0,0.4498844634918939,0.9357142857142857,0.9281009590730535
