epoch,loss,accuracy,macro_f1
1,2.8688560962677,0.24765625,0.24326144052441073
2,1.6512142658233642,0.6625,0.6498893619582204
3,1.0545657277107239,0.84453125,0.8400874990099396
4,0.7345997661352157,0.9234375,0.9231708397285692
5,0.5681142017245293,0.9375,0.9369462773795285
6,0.46544659584760667,0.9625,0.9623274140940612
7,0.3852630823850632,0.97890625,0.9788744788080788
8,0.35386441051959994,0.98671875,0.9867030492969375
9,0.3208457201719284,0.990625,0.9905940926016085
10,0.3106995910406113,0.99375,0.9937478014747555
11,0.30270566791296005,0.9890625,0.9890272694633768
12,0.28494587540626526,0.9984375,0.998437255821222
13,0.2816458150744438,0.9984375,0.998437255821222
14,0.2725745260715485,1.0,1.0
15,0.2775827065110207,0.996875,0.9968636358372132
16,0.2754741057753563,0.9953125,0.9953022444913268
17,0.27348670214414594,0.99921875,0.999218627910611
18,0.271511846780777,0.9984375,0.9984372558212221
