dataset,split,class,media_type,extension,relative_path,note
A Multimodal BISINDO Corpus Annotated Images and V,Unspecified,UNRESOLVED,Video,.mp4,A Multimodal BISINDO Corpus Annotated Images and V\Video\A.mp4,Parent folder 'Video' looks structural
A Multimodal BISINDO Corpus Annotated Images and V,Unspecified,UNRESOLVED,Video,.mp4,A Multimodal BISINDO Corpus Annotated Images and V\Video\B.mp4,Parent folder 'Video' looks structural
A Multimodal BISINDO Corpus Annotated Images and V,Unspecified,UNRESOLVED,Video,.mp4,A Multimodal BISINDO Corpus Annotated Images and V\Video\C.mp4,Parent folder 'Video' looks structural
A Multimodal BISINDO Corpus Annotated Images and V,Unspecified,UNRESOLVED,Video,.mp4,A Multimodal BISINDO Corpus Annotated Images and V\Video\D.mp4,Parent folder 'Video' looks structural
A Multimodal BISINDO Corpus Annotated Images and V,Unspecified,UNRESOLVED,Video,.mp4,A Multimodal BISINDO Corpus Annotated Images and V\Video\E.mp4,Parent folder 'Video' looks structural
A Multimodal BISINDO Corpus Annotated Images and V,Unspecified,UNRESOLVED,Video,.mp4,A Multimodal BISINDO Corpus Annotated Images and V\Video\F.mp4,Parent folder 'Video' looks structural
A Multimodal BISINDO Corpus Annotated Images and V,Unspecified,UNRESOLVED,Video,.mp4,A Multimodal BISINDO Corpus Annotated Images and V\Video\G.mp4,Parent folder 'Video' looks structural
A Multimodal BISINDO Corpus Annotated Images and V,Unspecified,UNRESOLVED,Video,.mp4,A Multimodal BISINDO Corpus Annotated Images and V\Video\H - Z.mp4,Parent folder 'Video' looks structural
