dataset,classes_detected,train,validation,test,unspecified,video,image,unresolved,total
A Multimodal BISINDO Corpus Annotated Images and V,26,17777,0,1976,8,8,19753,8,19761
BISINDO Video Dataset,7,0,0,0,2113,6,2107,0,2113
