class_id,class_name,precision,recall,f1,support
0,Air,0.625,1.0,0.7692307692307693,10
1,Belajar,0.9090909090909091,1.0,0.9523809523809523,10
2,Cari,0.75,0.9,0.8181818181818182,10
3,Hari,1.0,0.9,0.9473684210526315,10
4,Ingat,0.6,0.9,0.72,10
5,Lagi,0.9090909090909091,1.0,0.9523809523809523,10
6,Maaf,0.9090909090909091,1.0,0.9523809523809523,10
7,Makan,1.0,0.8,0.8888888888888888,10
8,Motor,1.0,1.0,1.0,10
9,Saya,1.0,0.8,0.8888888888888888,10
10,Terima kasih,0.7692307692307693,1.0,0.8695652173913043,10
11,Tuli,1.0,0.9,0.9473684210526315,10
12,Apa,0.9,0.9,0.9,10
13,Siapa,0.75,0.9,0.8181818181818182,10
14,Kapan,1.0,0.9,0.9473684210526315,10
15,Di mana,1.0,1.0,1.0,10
16,Mengapa,1.0,0.9,0.9473684210526315,10
17,Bagaimana,0.9090909090909091,1.0,0.9523809523809523,10
18,Merah,0.6,0.3,0.4,10
19,Kuning,0.8333333333333334,1.0,0.9090909090909091,10
20,Hijau,1.0,1.0,1.0,10
21,Hitam,1.0,1.0,1.0,10
22,Dengar,1.0,1.0,1.0,10
23,Berangkat,1.0,0.2,0.3333333333333333,10
24,Datang,1.0,0.8,0.8888888888888888,10
25,Teman,1.0,0.7,0.8235294117647058,10
26,Keluarga,0.9090909090909091,1.0,0.9523809523809523,10
27,Rumah,1.0,1.0,1.0,10
28,Pagi,1.0,1.0,1.0,10
29,Siang,0.42857142857142855,0.3,0.35294117647058826,10
30,Sore,1.0,1.0,1.0,10
31,Malam,0.42857142857142855,0.6,0.5,10
